"class","category","indicator_name","series_name","sub_series_name","parameter","value","units","date_last_updated"
"Health","Weekly deaths","By age","Total","Total","2011-10-23","579","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2011-10-30","555","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2011-11-06","587","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2011-11-13","609","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2011-11-20","541","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2011-11-27","581","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2011-12-04","528","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2011-12-11","503","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2011-12-18","566","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2011-12-25","570","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2012-01-01","564","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2012-01-08","516","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2012-01-15","544","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2012-01-22","532","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2012-01-29","508","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2012-02-05","520","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2012-02-12","499","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2012-02-19","520","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2012-02-26","520","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2012-03-04","494","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2012-03-11","519","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2012-03-18","500","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2012-03-25","546","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2012-04-01","543","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2012-04-08","488","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2012-04-15","532","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2012-04-22","556","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2012-04-29","565","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2012-05-06","577","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2012-05-13","562","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2012-05-20","561","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2012-05-27","527","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2012-06-03","605","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2012-06-10","561","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2012-06-17","594","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2012-06-24","634","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2012-07-01","643","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2012-07-08","631","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2012-07-15","717","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2012-07-22","696","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2012-07-29","654","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2012-08-05","661","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2012-08-12","682","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2012-08-19","623","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2012-08-26","644","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2012-09-02","620","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2012-09-09","656","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2012-09-16","636","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2012-09-23","606","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2012-09-30","615","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2012-10-07","577","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2012-10-14","575","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2012-10-21","616","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2012-10-28","579","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2012-11-04","593","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2012-11-11","581","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2012-11-18","542","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2012-11-25","564","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2012-12-02","552","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2012-12-09","547","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2012-12-16","540","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2012-12-23","567","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2012-12-30","525","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2013-01-06","568","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2013-01-13","561","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2013-01-20","558","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2013-01-27","520","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2013-02-03","516","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2013-02-10","508","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2013-02-17","506","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2013-02-24","512","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2013-03-03","499","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2013-03-10","511","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2013-03-17","530","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2013-03-24","565","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2013-03-31","553","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2013-04-07","533","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2013-04-14","561","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2013-04-21","560","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2013-04-28","568","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2013-05-05","551","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2013-05-12","539","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2013-05-19","565","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2013-05-26","579","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2013-06-02","571","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2013-06-09","572","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2013-06-16","548","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2013-06-23","627","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2013-06-30","557","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2013-07-07","611","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2013-07-14","653","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2013-07-21","642","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2013-07-28","597","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2013-08-04","593","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2013-08-11","644","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2013-08-18","614","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2013-08-25","621","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2013-09-01","576","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2013-09-08","597","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2013-09-15","664","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2013-09-22","635","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2013-09-29","598","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2013-10-06","556","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2013-10-13","592","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2013-10-20","579","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2013-10-27","533","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2013-11-03","559","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2013-11-10","580","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2013-11-17","532","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2013-11-24","548","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2013-12-01","525","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2013-12-08","505","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2013-12-15","526","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2013-12-22","526","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2013-12-29","516","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2014-01-05","525","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2014-01-12","522","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2014-01-19","545","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2014-01-26","520","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2014-02-02","497","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2014-02-09","542","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2014-02-16","565","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2014-02-23","546","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2014-03-02","532","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2014-03-09","528","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2014-03-16","553","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2014-03-23","513","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2014-03-30","533","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2014-04-06","515","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2014-04-13","496","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2014-04-20","603","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2014-04-27","542","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2014-05-04","550","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2014-05-11","557","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2014-05-18","618","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2014-05-25","637","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2014-06-01","656","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2014-06-08","607","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2014-06-15","578","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2014-06-22","625","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2014-06-29","653","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2014-07-06","658","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2014-07-13","678","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2014-07-20","632","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2014-07-27","699","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2014-08-03","680","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2014-08-10","684","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2014-08-17","669","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2014-08-24","651","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2014-08-31","625","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2014-09-07","678","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2014-09-14","703","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2014-09-21","605","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2014-09-28","642","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2014-10-05","671","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2014-10-12","628","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2014-10-19","600","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2014-10-26","597","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2014-11-02","600","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2014-11-09","594","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2014-11-16","575","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2014-11-23","613","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2014-11-30","585","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2014-12-07","580","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2014-12-14","561","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2014-12-21","595","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2014-12-28","587","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2015-01-04","564","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2015-01-11","566","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2015-01-18","595","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2015-01-25","531","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2015-02-01","587","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2015-02-08","567","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2015-02-15","577","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2015-02-22","542","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2015-03-01","586","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2015-03-08","550","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2015-03-15","552","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2015-03-22","567","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2015-03-29","575","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2015-04-05","586","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2015-04-12","565","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2015-04-19","554","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2015-04-26","576","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2015-05-03","579","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2015-05-10","620","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2015-05-17","583","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2015-05-24","565","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2015-05-31","593","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2015-06-07","632","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2015-06-14","626","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2015-06-21","640","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2015-06-28","625","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2015-07-05","646","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2015-07-12","669","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2015-07-19","680","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2015-07-26","710","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2015-08-02","727","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2015-08-09","719","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2015-08-16","723","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2015-08-23","663","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2015-08-30","672","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2015-09-06","666","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2015-09-13","665","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2015-09-20","686","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2015-09-27","655","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2015-10-04","595","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2015-10-11","638","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2015-10-18","596","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2015-10-25","596","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2015-11-01","606","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2015-11-08","624","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2015-11-15","545","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2015-11-22","613","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2015-11-29","546","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2015-12-06","603","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2015-12-13","575","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2015-12-20","537","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2015-12-27","567","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2016-01-03","575","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2016-01-10","564","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2016-01-17","558","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2016-01-24","519","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2016-01-31","541","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2016-02-07","552","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2016-02-14","523","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2016-02-21","517","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2016-02-28","568","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2016-03-06","534","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2016-03-13","511","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2016-03-20","525","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2016-03-27","515","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2016-04-03","590","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2016-04-10","551","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2016-04-17","546","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2016-04-24","581","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2016-05-01","554","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2016-05-08","599","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2016-05-15","620","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2016-05-22","575","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2016-05-29","598","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2016-06-05","594","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2016-06-12","677","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2016-06-19","608","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2016-06-26","633","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2016-07-03","627","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2016-07-10","633","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2016-07-17","688","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2016-07-24","666","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2016-07-31","656","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2016-08-07","651","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2016-08-14","698","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2016-08-21","710","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2016-08-28","665","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2016-09-04","644","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2016-09-11","616","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2016-09-18","681","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2016-09-25","653","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2016-10-02","641","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2016-10-09","643","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2016-10-16","631","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2016-10-23","594","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2016-10-30","605","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2016-11-06","599","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2016-11-13","594","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2016-11-20","582","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2016-11-27","619","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2016-12-04","596","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2016-12-11","575","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2016-12-18","606","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2016-12-25","548","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2017-01-01","602","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2017-01-08","528","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2017-01-15","601","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2017-01-22","557","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2017-01-29","608","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2017-02-05","591","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2017-02-12","564","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2017-02-19","571","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2017-02-26","580","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2017-03-05","572","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2017-03-12","599","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2017-03-19","571","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2017-03-26","593","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2017-04-02","596","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2017-04-09","596","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2017-04-16","570","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2017-04-23","592","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2017-04-30","629","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2017-05-07","632","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2017-05-14","627","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2017-05-21","619","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2017-05-28","679","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2017-06-04","682","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2017-06-11","660","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2017-06-18","719","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2017-06-25","727","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2017-07-02","695","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2017-07-09","737","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2017-07-16","700","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2017-07-23","806","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2017-07-30","839","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2017-08-06","863","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2017-08-13","810","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2017-08-20","740","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2017-08-27","709","Number","02-02-21"
